parameters;mean;std;mcse;ess_bulk;ess_tail;rhat;ess_per_sec;lower;upper
beta0[1];4.447640597165685;0.48896262390194717;0.0062019292824755995;6438.133606434542;6166.522351644331;1.0002530805376029;;3.546624551716245;5.444465604764873
beta0[2];-7.134049545722458;0.5756385999388268;0.005390763347077966;12418.41572674084;7621.708682385123;1.000286079619376;;-8.262629699197841;-6.025678769473972
beta1[1];-3.9911819027322855;0.49063047574509433;0.006234599366248668;6410.686503819653;6083.216539224621;1.0002273064137241;;-5.003259793177695;-3.0976604866255792
beta1[2];-0.22051817213901254;1.4071706474945154;0.011334577559657012;15605.967693500348;8820.818868439494;1.0005993615539694;;-3.059577233245138;2.432779067586861
beta2[1];1.1823828984759008;0.8823630035568689;0.011029364260546497;6450.833021124533;7720.548685267886;1.0008472873164889;;-0.4917454400258591;2.9667024905330033
beta2[2];-1.1619855227364668;1.1360593356208435;0.010026627592217797;13251.104118459461;7833.037201588006;1.001242854877697;;-3.402652183918689;1.0475726005887491
beta3[1];-0.10559890635309258;0.8853308413784055;0.011077907930689555;6443.756783220395;7643.335626507289;1.0008839534964613;;-1.8924164270662995;1.5629799232595214
beta3[2];-0.041125211053144595;1.4825629230898467;0.011530961619422759;16555.812825176617;10007.507583071209;1.0001517752153337;;-2.8268003966357647;2.908266817276948
gamma0[1, 1];-0.20674139557370727;0.059762846238155524;0.0005341718990451137;12530.43654830199;9434.56341623208;1.0004189613327379;;-0.32598013045475166;-0.09129538858748533
gamma0[1, 2];-6.448129603581812;0.3865468329481312;0.00400676724367143;9527.895703785365;8232.139937995447;0.9999465619985638;;-7.202864514024138;-5.686031701873473
gamma1[1, 1];-6.105858939360461;0.6347563919256214;0.005723292203465001;13579.124005877356;7994.159896036215;1.0007194732370897;;-7.366469600798295;-4.896996324330214
gamma1[1, 2];8.730130019099262;0.4711090990477956;0.005067619474325585;8806.243344655875;8039.668295858279;1.0000288267318194;;7.824407670504502;9.657471383035256
gamma2[1, 1];-0.3504185507535323;0.11616448902644594;0.0010597701119321725;12023.473079946676;9162.10649767097;1.0007630395867437;;-0.5670339611636921;-0.1104864959849264
gamma2[1, 2];-1.2168904915800456;0.8260943964040846;0.00889823201658208;8786.685114154077;8399.306000822195;1.0000275087757877;;-2.8722179476259226;0.3250037897195439
gamma3[1, 1];-1.0165330701273239;1.1630315459375193;0.010076166667834664;13710.62025337823;8559.767485973349;1.000108483566268;;-3.3629279487015795;1.1662263183630657
gamma3[1, 2];0.6997026955336839;0.9430903461156758;0.010062275597173171;8826.209479201523;8262.574369969427;1.000443532221353;;-1.0628895475442328;2.6206523316010424
init[1];0.6544408254716818;0.04933140213642963;0.00038201223085846504;16626.31377115657;8548.367605804287;1.000420725301703;;0.5553840471741697;0.7500679211424854
init[2];0.3455591745283182;0.049331402136429635;0.00038201223085846444;16626.313771156532;8548.367605804287;1.0004207752795593;;0.24993207885751456;0.44461595282583033
pdd[1];0.9871020731565308;0.006028775288607869;7.179565356090148e-5;6438.133606434542;6166.522351644331;1.0002530805376029;;0.9755946304864318;0.9971873977799793
pdd[2];0.0009295875047961613;0.0005180584586640866;4.259845044105981e-6;12418.41572674084;7621.708682385123;1.0002453439614725;;0.0001400529269416859;0.001925011315274277
pdc[1];0.9947963860622046;0.004786273022021625;4.884896781100631e-5;8107.36791293905;7205.796530971309;1.0004167179274603;;0.9857072391505657;0.9998883955475706
pdc[2];0.0004273735413793191;0.0004672562437899156;3.76159163525126e-6;17901.002763856115;7943.341956450251;1.0004191659410593;;3.936586948624879e-7;0.0013291925132519228
pcd[1];0.6120996654105575;0.012501836956008577;0.0001132253454318449;12192.588067867453;10143.304340724999;1.0000605891003562;;0.5880388965305228;0.63688048104937
pcd[2];0.0017173284019949032;0.0032966293361521713;3.2417403249766794e-5;15456.525085276644;8541.535518067436;1.000163965077017;;1.3669258284996943e-6;0.006834769948053046
pcc[1];0.8219799663862484;0.015052854261226444;0.0001395789689849214;11621.572135201472;10622.352650374674;1.0002202200602093;;0.7928604534646497;0.8511983481418482
pcc[2];0.0017701664176399319;0.006758400526115956;6.822826351971368e-5;16952.143565573537;9083.456208331767;1.0003465827920381;;1.0270737941567241e-8;0.007543745580464179
trans_dd[1,1];0.551456702224067;0.014769955761724497;0.0001320515412400504;12530.436548302006;9434.56341623208;1.0004144235756027;;0.5228080075740978;0.5807809604074242
trans_dd[2,1];0.448543297775933;0.014769955761724497;0.00013205154124005053;12530.43654830199;9434.56341623208;1.000414928689959;;0.41921903959257584;0.47719199242590216
trans_dd[1,2];0.0016986692815531138;0.0006449480161311848;6.419998868850712e-6;9527.895703785365;8232.139937995447;0.9999465619985638;;0.0005742590847916051;0.002976657464693979
trans_dd[2,2];0.9983013307184471;0.0006449480161311849;6.41999886885067e-6;9527.895703785365;8232.139937995447;0.9999465619985638;;0.997023342535306;0.9994257409152084
trans_dc[1,1];0.6354858868062326;0.022956243575935575;0.00016138129742128963;20187.605732772034;8866.5490907056;1.0001892845930278;;0.59048222452079;0.68078070116012
trans_dc[2,1];0.3645141131937674;0.02295624357593557;0.00016138129742128968;20187.60573277204;8866.5490907056;1.0001891569983759;;0.31921929883988;0.40951777547921
trans_dc[1,2];0.0006359618429721001;0.0005112941239688912;4.8547040837807e-6;10265.643624707798;8298.635169069354;0.9998886416262169;;2.3273382829326896e-5;0.0016536920066822954
trans_dc[2,2];0.9993640381570279;0.0005112941239688916;4.854704083780607e-6;10265.64362470779;8298.635169069348;0.9998893452342001;;0.9983463079933177;0.9999767266171706
trans_cd[1,1];0.9978291275948092;0.0013063655140129547;1.0239318357893839e-5;13800.376354550403;8210.13870517362;1.0003983823697273;;0.995250784047168;0.999722609167301
trans_cd[2,1];0.0021708724051908096;0.0013063655140129538;1.0239318357893873e-5;13800.376354550383;8210.13870517362;1.000399292850058;;0.0002773908326989202;0.004749215952831955
trans_cd[1,2];0.9043006685978469;0.024893935341110382;0.00018550207134899565;17826.210383509602;8230.826228857433;1.0003464843780165;;0.8550279116034522;0.9519874796317283
trans_cd[2,2];0.09569933140215332;0.024893935341110382;0.0001855020713489955;17826.210383509617;8230.826228857433;1.0003464843780165;;0.04801252036827194;0.1449720883965477
trans_cc[1,1];0.9991656743873185;0.0009598831653139457;7.684628308732234e-6;17457.411344987544;7634.859160783499;1.0001903263398526;;0.9972560472980619;0.9999984777360821
trans_cc[2,1];0.0008343256126814488;0.0009598831653139449;7.684628308732212e-6;17457.411344987555;7634.859160783499;1.0001903263398526;;1.522263917948232e-6;0.0027439527019380992
trans_cc[1,2];0.8428967721772381;0.05952637313328031;0.0004851700739167581;14422.027622642394;7214.863243908811;1.0010846056670186;;0.7293132118925325;0.9589646708781986
trans_cc[2,2];0.15710322782276184;0.05952637313328031;0.00048517007391675807;14422.027622642387;7214.863243908799;1.0010846056670186;;0.04103532912180143;0.27068678810746744
